games,percentage
50,0.54
100,0.56
150,0.5733333333333334
200,0.555
250,0.548
300,0.5566666666666666
350,0.58
400,0.57
450,0.5844444444444444
500,0.59
550,0.5963636363636363
600,0.6066666666666667
650,0.6076923076923076
700,0.6157142857142858
750,0.6066666666666667
800,0.61625
850,0.6176470588235294
900,0.6177777777777778
950,0.6147368421052631
1000,0.617
1050,0.6161904761904762
1100,0.6136363636363636
1150,0.6121739130434782
1200,0.6158333333333333
1250,0.6136
1300,0.6146153846153846
1350,0.6148148148148148
1400,0.6171428571428571
1450,0.6144827586206897
1500,0.612
1550,0.6116129032258064
1600,0.61125
1650,0.6060606060606061
1700,0.6094117647058823
1750,0.612
1800,0.6105555555555555
1850,0.6118918918918919
1900,0.6121052631578947
1950,0.6117948717948718
2000,0.6125
2050,0.6117073170731707
2100,0.6138095238095238
2150,0.6139534883720931
2200,0.6163636363636363
2250,0.616
2300,0.6165217391304347
2350,0.6165957446808511
2400,0.61625
2450,0.616734693877551
2500,0.6156
2550,0.6149019607843137
2600,0.6146153846153846
2650,0.6124528301886792
2700,0.6133333333333333
2750,0.6145454545454545
2800,0.615
2850,0.6185964912280701
2900,0.62
2950,0.6213559322033898
3000,0.621
3050,0.6213114754098361
3100,0.6209677419354839
3150,0.6187301587301587
3200,0.6190625
3250,0.6187692307692307
3300,0.6187878787878788
3350,0.6194029850746269
3400,0.6205882352941177
3450,0.621159420289855
3500,0.6214285714285714
3550,0.6194366197183099
3600,0.6197222222222222
3650,0.6208219178082192
3700,0.6218918918918919
3750,0.6221333333333333
3800,0.6244736842105263
3850,0.623896103896104
3900,0.6241025641025642
3950,0.6250632911392405
4000,0.62325
4050,0.6237037037037036
4100,0.625609756097561
4150,0.624578313253012
4200,0.6259523809523809
4250,0.6268235294117647
4300,0.6272093023255814
4350,0.6280459770114942
4400,0.6281818181818182
4450,0.6289887640449439
4500,0.6277777777777778
4550,0.6279120879120879
4600,0.6276086956521739
4650,0.6283870967741936
4700,0.6272340425531915
4750,0.6271578947368421
4800,0.6275
4850,0.6274226804123711
4900,0.626938775510204
4950,0.6278787878787879
5000,0.6288
5050,0.6295049504950495
5100,0.6288235294117647
5150,0.6287378640776699
5200,0.6296153846153846
5250,0.6291428571428571
5300,0.6286792452830189
5350,0.6289719626168224
5400,0.6298148148148148
5450,0.6299082568807339
5500,0.631090909090909
5550,0.630990990990991
5600,0.6305357142857143
5650,0.6311504424778761
5700,0.6317543859649123
5750,0.6321739130434783
5800,0.6322413793103449
5850,0.6328205128205128
5900,0.6335593220338983
5950,0.6332773109243698
6000,0.634
6050,0.6333884297520661
6100,0.6345901639344262
6150,0.6351219512195122
6200,0.6356451612903226
6250,0.6352
6300,0.6360317460317461
6350,0.6362204724409449
6400,0.63703125
6450,0.6372093023255814
6500,0.6363076923076924
6550,0.6358778625954199
6600,0.6365151515151515
6650,0.6372932330827068
6700,0.6370149253731343
6750,0.6374814814814814
6800,0.6376470588235295
6850,0.6376642335766424
6900,0.6373913043478261
6950,0.6378417266187051
7000,0.6377142857142857
7050,0.6373049645390071
7100,0.637887323943662
7150,0.6386013986013986
7200,0.63875
7250,0.6387586206896552
7300,0.6383561643835617
7350,0.638639455782313
7400,0.6378378378378379
7450,0.6379865771812081
7500,0.6392
7550,0.6394701986754967
7600,0.6392105263157895
7650,0.6398692810457516
7700,0.6401298701298701
7750,0.6410322580645161
7800,0.6408974358974359
7850,0.640891719745223
7900,0.6413924050632911
7950,0.6412578616352201
8000,0.64125
8050,0.6419875776397516
8100,0.6417283950617284
8150,0.6423312883435582
8200,0.6428048780487805
8250,0.6425454545454545
8300,0.6424096385542168
8350,0.6409580838323353
8400,0.6408333333333334
8450,0.6407100591715976
8500,0.6407058823529411
8550,0.6409356725146199
8600,0.6406976744186047
8650,0.6411560693641618
8700,0.6410344827586207
8750,0.6413714285714286
8800,0.6415909090909091
8850,0.6418079096045197
8900,0.6415730337078651
8950,0.6416759776536313
9000,0.6416666666666667
9050,0.6409944751381216
9100,0.6408791208791209
9150,0.6409836065573771
9200,0.6403260869565217
9250,0.6403243243243243
9300,0.6404301075268817
9350,0.6403208556149733
9400,0.640531914893617
9450,0.6404232804232804
9500,0.640421052631579
9550,0.6406282722513089
9600,0.6404166666666666
9650,0.641139896373057
9700,0.6410309278350516
9750,0.6410256410256411
9800,0.6409183673469387
9850,0.6407106598984772
9900,0.6404040404040404
9950,0.64
10000,0.6398
