games,percentage
50,0.56
100,0.6
150,0.62
200,0.63
250,0.624
300,0.6366666666666667
350,0.6542857142857142
400,0.6675
450,0.6666666666666666
500,0.68
550,0.6709090909090909
600,0.6716666666666666
650,0.6738461538461539
700,0.6714285714285714
750,0.664
800,0.66875
850,0.6729411764705883
900,0.6722222222222223
950,0.6694736842105263
1000,0.669
1050,0.6685714285714286
1100,0.6690909090909091
1150,0.6721739130434783
1200,0.6708333333333333
1250,0.6784
1300,0.6815384615384615
1350,0.6822222222222222
1400,0.685
1450,0.6855172413793104
1500,0.686
1550,0.6838709677419355
1600,0.68625
1650,0.6836363636363636
1700,0.6835294117647058
1750,0.6845714285714286
1800,0.6855555555555556
1850,0.6897297297297297
1900,0.6894736842105263
1950,0.6892307692307692
2000,0.6885
2050,0.6892682926829268
2100,0.689047619047619
2150,0.6893023255813954
2200,0.6881818181818182
2250,0.6893333333333334
2300,0.6878260869565217
2350,0.6914893617021277
2400,0.68875
2450,0.6885714285714286
2500,0.6884
2550,0.687843137254902
2600,0.6892307692307692
2650,0.6879245283018868
2700,0.6885185185185185
2750,0.6872727272727273
2800,0.6875
2850,0.6866666666666666
2900,0.6868965517241379
2950,0.6891525423728814
3000,0.688
3050,0.6862295081967213
3100,0.6870967741935484
3150,0.6885714285714286
3200,0.6890625
3250,0.6886153846153846
3300,0.6884848484848485
3350,0.6883582089552239
3400,0.6873529411764706
3450,0.6881159420289855
3500,0.6891428571428572
3550,0.6876056338028169
3600,0.6877777777777778
3650,0.6884931506849316
3700,0.69
3750,0.6904
3800,0.6910526315789474
3850,0.6896103896103896
3900,0.6894871794871795
3950,0.6908860759493671
4000,0.69025
4050,0.6903703703703704
4100,0.6897560975609756
4150,0.6889156626506024
4200,0.6888095238095238
4250,0.6870588235294117
4300,0.6865116279069767
4350,0.6866666666666666
4400,0.6870454545454545
4450,0.6867415730337079
4500,0.6875555555555556
4550,0.6859340659340659
4600,0.6858695652173913
4650,0.6855913978494623
4700,0.6846808510638298
4750,0.6850526315789474
4800,0.6845833333333333
4850,0.6849484536082474
4900,0.6848979591836735
4950,0.6854545454545454
5000,0.6852
5050,0.6841584158415842
5100,0.6856862745098039
5150,0.6866019417475728
5200,0.6851923076923077
5250,0.6853333333333333
5300,0.6849056603773584
5350,0.6846728971962617
5400,0.6838888888888889
5450,0.6834862385321101
5500,0.6827272727272727
5550,0.6823423423423424
5600,0.6819642857142857
5650,0.6823008849557523
5700,0.6815789473684211
5750,0.6817391304347826
5800,0.6808620689655173
5850,0.6808547008547009
5900,0.6798305084745763
5950,0.6796638655462185
6000,0.6798333333333333
6050,0.6785123966942149
6100,0.679016393442623
6150,0.6772357723577236
6200,0.6770967741935484
6250,0.67744
6300,0.6780952380952381
6350,0.6776377952755905
6400,0.6784375
6450,0.6776744186046512
6500,0.6776923076923077
6550,0.6770992366412214
6600,0.6768181818181818
6650,0.6771428571428572
6700,0.6771641791044776
6750,0.6777777777777778
6800,0.6770588235294117
6850,0.6770802919708029
6900,0.6778260869565217
6950,0.6779856115107914
7000,0.6785714285714286
7050,0.6778723404255319
7100,0.677887323943662
7150,0.6777622377622378
7200,0.6779166666666666
7250,0.6780689655172414
7300,0.6787671232876712
7350,0.6782312925170068
7400,0.6786486486486486
7450,0.6783892617449664
7500,0.6785333333333333
7550,0.6794701986754967
7600,0.6785526315789474
7650,0.6788235294117647
7700,0.6790909090909091
7750,0.6790967741935484
7800,0.6791025641025641
7850,0.6792356687898089
7900,0.6788607594936709
7950,0.6783647798742138
8000,0.678625
8050,0.6785093167701863
8100,0.6782716049382717
8150,0.6784049079754602
8200,0.6780487804878049
8250,0.6774545454545454
8300,0.6766265060240964
8350,0.6759281437125748
8400,0.675952380952381
8450,0.6762130177514792
8500,0.676235294117647
8550,0.6760233918128655
8600,0.6761627906976744
8650,0.6758381502890174
8700,0.6758620689655173
8750,0.6763428571428571
8800,0.6765909090909091
8850,0.676497175141243
8900,0.6759550561797752
8950,0.6759776536312849
9000,0.6758888888888889
9050,0.6759116022099447
9100,0.6754945054945055
9150,0.6759562841530055
9200,0.6757608695652174
9250,0.6757837837837838
9300,0.6758064516129032
9350,0.6758288770053476
9400,0.6761702127659575
9450,0.6766137566137567
9500,0.6768421052631579
9550,0.6772774869109948
9600,0.6771875
9650,0.6775129533678756
9700,0.6768041237113402
9750,0.6771282051282052
9800,0.6766326530612244
9850,0.6769543147208121
9900,0.6766666666666666
9950,0.6763819095477387
10000,0.6769
