games,percentage
50,0.56
100,0.57
150,0.5733333333333334
200,0.595
250,0.604
300,0.6166666666666667
350,0.6114285714285714
400,0.6125
450,0.6222222222222222
500,0.62
550,0.6236363636363637
600,0.625
650,0.6307692307692307
700,0.6328571428571429
750,0.6333333333333333
800,0.63375
850,0.6364705882352941
900,0.6411111111111111
950,0.6368421052631579
1000,0.631
1050,0.6247619047619047
1100,0.6290909090909091
1150,0.6313043478260869
1200,0.6358333333333334
1250,0.6384
1300,0.6376923076923077
1350,0.6414814814814814
1400,0.6414285714285715
1450,0.643448275862069
1500,0.6453333333333333
1550,0.6419354838709678
1600,0.64
1650,0.6393939393939394
1700,0.6411764705882353
1750,0.6451428571428571
1800,0.6422222222222222
1850,0.6421621621621622
1900,0.6421052631578947
1950,0.642051282051282
2000,0.642
2050,0.6424390243902439
2100,0.6423809523809524
2150,0.6432558139534884
2200,0.6418181818181818
2250,0.6431111111111111
2300,0.6434782608695652
2350,0.6429787234042553
2400,0.64125
2450,0.6420408163265307
2500,0.6396
2550,0.6388235294117647
2600,0.6396153846153846
2650,0.64
2700,0.6407407407407407
2750,0.6403636363636364
2800,0.6407142857142857
2850,0.639298245614035
2900,0.6389655172413793
2950,0.6396610169491526
3000,0.639
3050,0.639672131147541
3100,0.6403225806451613
3150,0.6393650793650794
3200,0.6384375
3250,0.6384615384615384
3300,0.6372727272727273
3350,0.6373134328358209
3400,0.6379411764705882
3450,0.6373913043478261
3500,0.6374285714285715
3550,0.635774647887324
3600,0.6355555555555555
3650,0.6347945205479452
3700,0.6348648648648648
3750,0.6357333333333334
3800,0.6357894736842106
3850,0.6355844155844156
3900,0.6364102564102564
3950,0.6354430379746835
4000,0.636
4050,0.6365432098765432
4100,0.6353658536585366
4150,0.6363855421686747
4200,0.6357142857142857
4250,0.6355294117647059
4300,0.6353488372093024
4350,0.6337931034482759
4400,0.6329545454545454
4450,0.6334831460674157
4500,0.6344444444444445
4550,0.634065934065934
4600,0.6343478260869565
4650,0.633978494623656
4700,0.634468085106383
4750,0.6347368421052632
4800,0.635
4850,0.6342268041237114
4900,0.6334693877551021
4950,0.6329292929292929
5000,0.6326
5050,0.6326732673267327
5100,0.6325490196078432
5150,0.632621359223301
5200,0.6319230769230769
5250,0.6312380952380953
5300,0.6313207547169811
5350,0.631588785046729
5400,0.6312962962962962
5450,0.6310091743119266
5500,0.6309090909090909
5550,0.630990990990991
5600,0.6314285714285715
5650,0.6316814159292036
5700,0.6305263157894737
5750,0.6295652173913043
5800,0.6294827586206897
5850,0.6292307692307693
5900,0.6289830508474576
5950,0.6294117647058823
6000,0.6286666666666667
6050,0.6274380165289256
6100,0.6273770491803279
6150,0.6271544715447155
6200,0.6264516129032258
6250,0.6264
6300,0.6268253968253968
6350,0.6264566929133858
6400,0.62703125
6450,0.6265116279069768
6500,0.6261538461538462
6550,0.6258015267175573
6600,0.6260606060606061
6650,0.6264661654135338
6700,0.6261194029850746
6750,0.6257777777777778
6800,0.6260294117647058
6850,0.6262773722627737
6900,0.6253623188405797
6950,0.6256115107913669
7000,0.6258571428571429
7050,0.626241134751773
7100,0.6271830985915493
7150,0.6265734265734266
7200,0.6268055555555555
7250,0.6259310344827587
7300,0.6253424657534247
7350,0.6254421768707483
7400,0.6252702702702703
7450,0.625234899328859
7500,0.6249333333333333
7550,0.625430463576159
7600,0.6261842105263158
7650,0.6265359477124183
7700,0.6268831168831169
7750,0.6268387096774194
7800,0.6255128205128205
7850,0.6258598726114649
7900,0.6255696202531645
7950,0.6251572327044025
8000,0.625375
8050,0.6260869565217392
8100,0.6262962962962964
8150,0.627361963190184
8200,0.6273170731707317
8250,0.6278787878787879
8300,0.6279518072289156
8350,0.6283832335329341
8400,0.628452380952381
8450,0.6285207100591717
8500,0.6277647058823529
8550,0.627719298245614
8600,0.6273255813953489
8650,0.6270520231213873
8700,0.6268965517241379
8750,0.6270857142857142
8800,0.6272727272727273
8850,0.6271186440677966
8900,0.6273033707865169
8950,0.6268156424581005
9000,0.6272222222222222
9050,0.627292817679558
9100,0.6269230769230769
9150,0.6267759562841531
9200,0.6270652173913044
9250,0.6270270270270271
9300,0.6270967741935484
9350,0.6272727272727273
9400,0.6270212765957447
9450,0.6273015873015872
9500,0.6273684210526316
9550,0.6278534031413613
9600,0.6276041666666666
9650,0.6273575129533678
9700,0.6277319587628866
9750,0.6274871794871795
9800,0.6285714285714286
9850,0.628730964467005
9900,0.6286868686868687
9950,0.6284422110552764
10000,0.6288
