games,percentage
50,0.64
100,0.61
150,0.62
200,0.62
250,0.62
300,0.6333333333333333
350,0.6542857142857142
400,0.6675
450,0.6711111111111111
500,0.668
550,0.6727272727272727
600,0.6683333333333333
650,0.6646153846153846
700,0.66
750,0.6626666666666666
800,0.66
850,0.6576470588235294
900,0.6511111111111111
950,0.6494736842105263
1000,0.647
1050,0.6438095238095238
1100,0.6445454545454545
1150,0.6434782608695652
1200,0.6433333333333333
1250,0.6384
1300,0.6407692307692308
1350,0.64
1400,0.6371428571428571
1450,0.6372413793103449
1500,0.6386666666666667
1550,0.632258064516129
1600,0.633125
1650,0.6303030303030303
1700,0.63
1750,0.6285714285714286
1800,0.6288888888888889
1850,0.6318918918918919
1900,0.6310526315789474
1950,0.6292307692307693
2000,0.63
2050,0.628780487804878
2100,0.63
2150,0.6311627906976744
2200,0.6309090909090909
2250,0.6311111111111111
2300,0.6304347826086957
2350,0.6293617021276596
2400,0.6308333333333334
2450,0.6322448979591837
2500,0.6308
2550,0.6325490196078432
2600,0.6338461538461538
2650,0.6347169811320754
2700,0.6337037037037037
2750,0.6345454545454545
2800,0.635
2850,0.6357894736842106
2900,0.6396551724137931
2950,0.6396610169491526
3000,0.6413333333333333
3050,0.6409836065573771
3100,0.6406451612903226
3150,0.6409523809523809
3200,0.6403125
3250,0.6412307692307693
3300,0.6418181818181818
3350,0.6408955223880597
3400,0.6391176470588236
3450,0.6394202898550725
3500,0.6388571428571429
3550,0.6371830985915493
3600,0.6347222222222222
3650,0.633972602739726
3700,0.6327027027027027
3750,0.6328
3800,0.6318421052631579
3850,0.6306493506493507
3900,0.6312820512820513
3950,0.6316455696202532
4000,0.633
4050,0.6330864197530864
4100,0.6341463414634146
4150,0.6337349397590362
4200,0.6335714285714286
4250,0.6324705882352941
4300,0.6327906976744186
4350,0.6337931034482759
4400,0.634090909090909
4450,0.6341573033707865
4500,0.6333333333333333
4550,0.6327472527472527
4600,0.6332608695652174
4650,0.6320430107526882
4700,0.6317021276595745
4750,0.6311578947368421
4800,0.6295833333333334
4850,0.6294845360824742
4900,0.6297959183673469
4950,0.6296969696969696
5000,0.6292
5050,0.6295049504950495
5100,0.6301960784313726
5150,0.6299029126213592
5200,0.6303846153846154
5250,0.6302857142857143
5300,0.6303773584905661
5350,0.6304672897196262
5400,0.6298148148148148
5450,0.6304587155963303
5500,0.6294545454545455
5550,0.6284684684684685
5600,0.6285714285714286
5650,0.628141592920354
5700,0.6275438596491228
5750,0.6278260869565218
5800,0.628448275862069
5850,0.6283760683760684
5900,0.6288135593220339
5950,0.6287394957983193
6000,0.6288333333333334
6050,0.6284297520661157
6100,0.6295081967213115
6150,0.6292682926829268
6200,0.63
6250,0.63072
6300,0.6309523809523809
6350,0.631023622047244
6400,0.630625
6450,0.6313178294573644
6500,0.6309230769230769
6550,0.6316030534351145
6600,0.6315151515151515
6650,0.6314285714285715
6700,0.6307462686567165
6750,0.6303703703703704
6800,0.6307352941176471
6850,0.6306569343065693
6900,0.6302898550724638
6950,0.6303597122302158
7000,0.6297142857142857
7050,0.6292198581560283
7100,0.6295774647887324
7150,0.6293706293706294
7200,0.6293055555555556
7250,0.6295172413793103
7300,0.6301369863013698
7350,0.6297959183673469
7400,0.6294594594594595
7450,0.6296644295302013
7500,0.6292
7550,0.6283443708609272
7600,0.6289473684210526
7650,0.6278431372549019
7700,0.6276623376623377
7750,0.6278709677419355
7800,0.6275641025641026
7850,0.6277707006369426
7900,0.6284810126582279
7950,0.6288050314465409
8000,0.629375
8050,0.6291925465838509
8100,0.6295061728395062
8150,0.6292024539877301
8200,0.6290243902439024
8250,0.6284848484848485
8300,0.6285542168674699
8350,0.6292215568862275
8400,0.6294047619047619
8450,0.6295857988165681
8500,0.6297647058823529
8550,0.6304093567251462
8600,0.6305813953488372
8650,0.6304046242774567
8700,0.6303448275862069
8750,0.6300571428571429
8800,0.6302272727272727
8850,0.6307344632768361
8900,0.6307865168539326
8950,0.6306145251396648
9000,0.6304444444444445
9050,0.6306077348066298
9100,0.6301098901098902
9150,0.6300546448087432
9200,0.63
9250,0.6298378378378379
9300,0.6293548387096775
9350,0.6293048128342246
9400,0.6289361702127659
9450,0.628994708994709
9500,0.6291578947368421
9550,0.6293193717277487
9600,0.6295833333333334
9650,0.6304663212435233
9700,0.6310309278350515
9750,0.6309743589743589
9800,0.6312244897959184
9850,0.6305583756345178
9900,0.63010101010101
9950,0.629748743718593
10000,0.6298
